filename,description
001-0-frame.png,"kids in jackets standing on sandy ground amid a scattering of large numbered pictures"
002-191-frame.png,"soldier sitting on top of jeep holding a machine gun and soldier sitting inside"
003-341-frame.png,"a man with a blue and white jacket, cap, and backpack, taking photographs"
004-426-frame.png,"an asian man in traditional clothing sounds a large horn in a pleasant mountain landscape"
005-505-frame.png,"a man with a blue and white jacket , cap , and backpack , taking photographs"
006-778-frame.png,"a black man wearing a hat and holding a large camera"
007-868-frame.png,"a woman enjoying the breeze of a primitive fan"
008-2022-frame.png,"they enjoy rock climbing these large rocks together"
009-2235-frame.png,"a newswoman and a man talk about a mountain lion attack"
010-2300-frame.png,"two men in historical clothing stand in a covered wagon attached to two donkeys while one man shoots a pistol and holds a rifle up"
011-2515-frame.png,"a backpacker points to the snowcapped mountains as he stands on a rocky plain"
012-2613-frame.png,"the young man with the white t - shirt and jeans is rappeling up the rock wall"
013-2735-frame.png,"the couple is sitting on a rock overlooking a valley"
014-2813-frame.png,"a person is climbing a rock in a forest"
015-3142-frame.png,"this person is climbing the side of a mountain"
016-3430-frame.png,"working together, these men move camels through a mountain pass"
017-3553-frame.png,"five people standing by rocks and mountains"
018-3633-frame.png,"three men stand on a mountain looking at another"
019-3784-frame.png,"someone is crawling under a large rock"
020-6050-frame.png,"a man is standing on rocks looking towards the mountains"
021-6195-frame.png,"a man with a brown vest is smiling and holding his sheep"
022-6243-frame.png,"a group of young men sit on rock and look in the distance"
023-6256-frame.png,"a woman stands at the edge of a cliff overlooking the mountains"
024-6323-frame.png,"a young man is adjusting a goat while two people are looking on in a conversation"
025-6439-frame.png,"a airplane that is flying in the sky with a kite under it"
026-6620-frame.png,"four men are kneeling down to take a picture"
027-6879-frame.png,"group of ships sitting in the sand near a beach"
028-7120-frame.png,"a huge field next to the beach is home for many cows"
029-7166-frame.png,"a person lying in the sand on the beach"
